row_id,item_id,item_description,quantity,dimension_x_mm,dimension_y_mm,dimension_z_mm,finish_primary,finish_secondary
1,ITEM-001,COMPONENT-01,4,840,1980,320,FINISH-A,
2,ITEM-002,COMPONENT-02,3,1080,2040,360,FINISH-A,
3,ITEM-003,COMPONENT-03,16,720,,,FINISH-B,
4,ITEM-004,COMPONENT-04,10,960,,,FINISH-B,
5,ITEM-005,COMPONENT-05,2,1380,900,580,,FINISH-C
6,ITEM-006,COMPONENT-06,2,810,860,500,,FINISH-C
7,ITEM-007,COMPONENT-07,5,640,2060,30,FINISH-A,FINISH-C
8,ITEM-008,COMPONENT-08,4,260,2080,220,FINISH-A,FINISH-C
9,ITEM-009,COMPONENT-09,14,700,,,FINISH-B,
10,ITEM-010,COMPONENT-10,20,,,,FINISH-A,
11,ITEM-011,COMPONENT-11,2,600,1280,400,FINISH-A,
12,ITEM-012,COMPONENT-12,30,,,,,
