source_row,cad_code,item,family,component_type,width_mm,height_mm,length_mm,quantity,primary_finish,secondary_finish,material,measure_basis,unit_cost,waste_pct,attribute_completeness_pct,review_status
1,ITEM-001,COMPONENT-01,PUBLIC_DEMO,UNCLASSIFIED,840.0,1980.0,320.0,4.0,FINISH-A,,FINISH_SPECIFIED,unit,0.0,0.0,100.0,READY
2,ITEM-002,COMPONENT-02,PUBLIC_DEMO,UNCLASSIFIED,1080.0,2040.0,360.0,3.0,FINISH-A,,FINISH_SPECIFIED,unit,0.0,0.0,100.0,READY
3,ITEM-003,COMPONENT-03,PUBLIC_DEMO,UNCLASSIFIED,720.0,0.0,0.0,16.0,FINISH-B,,FINISH_SPECIFIED,unit,0.0,0.0,66.7,READY
4,ITEM-004,COMPONENT-04,PUBLIC_DEMO,UNCLASSIFIED,960.0,0.0,0.0,10.0,FINISH-B,,FINISH_SPECIFIED,unit,0.0,0.0,66.7,READY
5,ITEM-005,COMPONENT-05,PUBLIC_DEMO,UNCLASSIFIED,1380.0,900.0,580.0,2.0,,FINISH-C,FINISH_SPECIFIED,unit,0.0,0.0,100.0,READY
6,ITEM-006,COMPONENT-06,PUBLIC_DEMO,UNCLASSIFIED,810.0,860.0,500.0,2.0,,FINISH-C,FINISH_SPECIFIED,unit,0.0,0.0,100.0,READY
7,ITEM-007,COMPONENT-07,PUBLIC_DEMO,UNCLASSIFIED,640.0,2060.0,30.0,5.0,FINISH-A,FINISH-C,FINISH_SPECIFIED,unit,0.0,0.0,100.0,READY
8,ITEM-008,COMPONENT-08,PUBLIC_DEMO,UNCLASSIFIED,260.0,2080.0,220.0,4.0,FINISH-A,FINISH-C,FINISH_SPECIFIED,unit,0.0,0.0,100.0,READY
9,ITEM-009,COMPONENT-09,PUBLIC_DEMO,UNCLASSIFIED,700.0,0.0,0.0,14.0,FINISH-B,,FINISH_SPECIFIED,unit,0.0,0.0,66.7,READY
10,ITEM-010,COMPONENT-10,PUBLIC_DEMO,UNCLASSIFIED,0.0,0.0,0.0,20.0,FINISH-A,,FINISH_SPECIFIED,unit,0.0,0.0,50.0,CHECK_DIMENSIONS
11,ITEM-011,COMPONENT-11,PUBLIC_DEMO,UNCLASSIFIED,600.0,1280.0,400.0,2.0,FINISH-A,,FINISH_SPECIFIED,unit,0.0,0.0,100.0,READY
12,ITEM-012,COMPONENT-12,PUBLIC_DEMO,UNCLASSIFIED,0.0,0.0,0.0,30.0,,,UNSPECIFIED,unit,0.0,0.0,33.3,CHECK_DIMENSIONS
